Angle Measurements
Line  Num,Avg Angle(rad)
1,2.91048693371466
2,3.02210763414555
3,3.01116395422485
4,3.01100187613636
5,3.01236163171462
6,2.97380847239428
7,3.01074056059267
8,2.96956550991541
9,3.00957963719102
10,3.00581668704797
11,2.99523027713555
12,2.98048251228551
13,2.94671775182325
14,3.00161468537541
15,2.94185844453976
16,2.968951580207
17,2.87739407965217
18,2.99342812572687
19,2.98414138658435
20,2.98017605949907
21,2.99312904356903
22,2.97842973888022
23,3.00071057250122
24,2.90214569690669
25,3.00484980135101
26,2.98919623709322
27,2.98065651962188
28,2.99589574394287
29,3.0006526441555
30,3.01390438201732
31,3.01655029179163
32,2.99122776871978
33,2.97191807648595
34,2.92955289168004
35,2.96004510908472
36,2.98806031069051
37,2.97112460624703
38,2.9854152655179
39,2.98101935784255
40,3.00355903420561
41,2.99929233101997
42,2.98066497723608
43,2.9114677460306
44,2.99988892651166
45,2.96389530606909
46,2.99041084284897
47,2.97520327606162
48,2.93491832647126
49,2.98506000901957
50,2.97430550539155
51,3.00362437975918
52,2.88808798477381
53,3.00250513069875
54,2.98690311267807
55,2.97575622803692
56,3.00366004172501
57,2.95783926253838
58,2.94476931045618
59,2.95708841701031
60,3.01611408088779
61,2.97921215853073
62,2.97207041104002
63,2.93676407972373
64,2.91469552209658
65,2.9724293403065
66,3.0028523846058
67,2.97052786128471
68,2.89405591038604
69,2.98113739101858
70,2.99988444887605
71,2.98511378456644
72,2.9886359460188
73,2.98767181317539
74,2.96510790166566
75,3.01410724182792
76,2.98871486333576
77,2.98614247536569
78,2.98550294059613
79,2.99644116084521
80,2.99183449698438
81,2.9263093890811
82,2.94587123168734
83,2.96103848551685
84,3.00482923917462
85,2.98010307889975
86,2.93637246946249
87,2.88321593020912
88,2.98942333704391
89,2.85745144880708
90,2.90767813226909
91,3.00155238889007
92,2.93765245058942
93,2.931666493906
94,2.75491862034513
95,3.08196194045863
96,2.97025591502785
97,2.98464971054003
98,2.94191305964956
99,3.00423771707763
100,2.96441053734071
101,2.98598413506941
102,2.99695791467433
103,3.0081813507588
104,2.90454108300784
105,2.98630692873582
106,2.94440129120574
107,2.89517099002149
108,2.86823469004646
109,2.10319033431418
110,2.62506028061247
111,2.93902958819393
112,2.96440248314701
113,2.09932790653653
114,2.81701317540214
115,2.35368941458668
116,2.47411549842396
117,3.00917252130927
118,2.65967475898722
119,2.70310483102913
120,2.56881746120221
121,2.98006885512352
122,2.98960698431451
123,2.86657147766477
124,2.92006351370935
125,2.92520590379743
126,2.60427162546373
127,2.99036999507363
128,1.66976713187127
129,2.98791010374019
130,2.91341718227381
131,2.87641622364793
132,2.97431148092388
133,2.96497332442381
134,2.99439946625974
135,2.56626677581098
136,3.00784101299745
137,2.96567426768372
138,2.99343912382289
139,3.00012228498641
140,2.48172934809361
141,2.87499429482608
142,3.00154126848029
143,3.01138756479584
144,2.99788350889608
145,3.00611450037021
146,0.827417658583869
147,0.9740668131155
148,2.88423137330763
149,2.96982381576219
150,2.97067451350663
151,3.02245092550251
152,2.53920245494852
153,2.9615682366759
154,2.39225296885406
155,2.89086731404882
156,2.65520955117438
157,2.56177343043666
158,3.01016853560218
159,0.979872528172545
160,0.438012200479127
161,2.95709912012738
162,3.08141440549308
163,2.87590059331461
164,2.97324363952684
165,2.98236515433454
166,2.96809215374671
167,2.17166970389333
168,2.34858850190614
169,2.18648721806315
170,2.95768414372134
171,2.87407113037374
172,0.664706156130918
173,2.94871728802805
174,3.00174828505899
175,2.99265277774121
176,2.67794504458899
177,2.67241813328427
178,2.97550060161083
179,2.90437432987114
180,2.93422565676008
181,1.30587284734972
182,2.72017344670199
183,2.69706300851411
184,2.94876495801342
185,2.7713426397916
186,2.91148991181308
187,2.92889696022756
188,2.79189168234182
189,2.21729332485839
190,2.87734232956841
191,2.80282900212427
192,2.86778983452577
193,0.664813914558725
194,0.319433793587963
195,2.98499077660779
196,2.99639809041066
197,2.89654014481318
198,3.00127990085851
199,2.98793760982852
200,2.95795869235284
201,1.15079068323068
202,3.00070932893279
203,2.90393210366401
204,2.99633838905282
205,3.00498998705033
206,3.00874394980523
207,2.90496156786799
208,3.01792008140579
209,3.03606157048038
210,2.33793434886655
211,2.94419709373991
212,2.96382492133218
213,2.69983117326425
214,2.92268172217526
215,2.93788566871122
216,2.8800311392808
217,2.65585041889632
218,2.9556800813767
219,2.86660847231943
220,2.96455379474929
221,2.7709255789458
222,2.86662109587452
223,2.98843966698549
224,2.91176433206048
225,3.00239766598905
226,2.71535813965375
227,2.92574698663511
228,2.40988427908826
229,1.62476967580819
230,2.90877812953083
231,2.8470329465966
232,2.93156217632606
233,2.92096529158776
234,2.9533057584821
235,2.86323224243985
236,2.52682678028274
237,2.6284528431413
238,2.98245270953682
239,2.44735545713489
240,2.9655302486323
241,2.76790708665731
242,2.12747052626514
243,2.78543539807565
244,0.710542524281473
245,2.19022138429532
246,3.03988044089618
247,2.84014335113566
248,2.9046220755542
249,3.01953010632207
250,2.92394892038998
251,3.01349184031375
252,2.85777370173537
253,2.96705225383391
254,2.66699409495379
255,2.93749221337238
256,2.83491364816584
257,2.70214416352122
258,2.57222906101385
259,2.81211708816497
260,2.73536722703158
261,2.8709113915981
262,3.01667214354037
263,1.01887298695503
264,2.76479163470121
265,2.95503571050543
266,2.91942598731245
267,2.86774603819749
268,2.55863100264462
269,3.09090180361076
270,3.00269246644902
271,2.74681144375029
272,2.69516696527516
273,2.02312099438536
274,3.03469393400938
275,2.89018474609973
276,2.9910171400691
277,2.96210925623463
278,2.95249041111849
279,2.11333844291431
280,2.84091888461297
281,2.87514666352893
282,2.75078787979138
283,3.03848304256489
284,2.04343364602652
285,2.79655685708707
286,2.8063278596582
287,2.06154106533891
288,2.75753039866861
289,2.88258363417997
290,1.07973623133981
291,2.98088133908364
292,2.82541539340565
293,2.9642095368376
294,2.63397205259473
295,3.00056752338125
296,2.98824303307165
297,3.10522717829735
298,2.75975262614676
299,2.93553696763595
300,2.76839656452076
301,2.77479659755448
302,3.08484819648085
303,2.88496493451856
304,2.92969017581085
305,2.81019324520592
306,2.97733143017192
307,2.85536085596854
308,2.73887465533831
309,2.76086722709867
310,2.50826567576225
311,3.01708331490192
312,2.85637922742788
313,2.65563235365832
314,2.96368730950043
315,1.89510146644607
316,2.40411546141998
317,3.045449467417
318,2.99743043369419
319,1.01122902799832
320,2.83024915903522
321,2.87319936306246
322,2.96343412699191
323,2.80568700208342
324,2.27804624634936
325,2.86186349511737
326,2.9788010880772
327,2.95294983733691
328,2.95399972614413
329,2.95384403174123
330,2.7923853079384
331,2.9219076862312
332,2.76985278935797
333,1.78799638757584
334,3.0521683888602
335,2.97517362046403
336,2.94914970472568
337,2.84597934734814
338,2.02298110399569
339,2.9774859547067
340,2.86478466140881
341,2.89553391134514
342,3.00183127894372
343,2.66315831712974
344,2.99633271958082
345,2.94435414528426
346,2.6738261435074
347,2.73641042375775
348,2.9538384690618
349,2.90112667496479
350,2.70014632845379
351,2.77823715338756
352,2.92202009080718
353,2.35416237276128
354,2.92505516391806
355,2.70548660273949
356,2.89828158803271
357,2.95365016242026
358,2.99008043972369
359,2.96479440017727
360,2.969702787943
361,2.01462279978709
362,2.95581911454844
363,1.85473984583328
364,2.7711641246929
365,2.90881720965679
366,2.80859910927009
367,2.77155191004448
368,1.65665012465394
369,2.91771541007999
370,2.860642853878
371,0.397992822352818
372,2.75903978124092
373,3.00370795432723
374,2.70305716203129
375,2.73518896341451
376,1.96748201282776
377,2.93195915104151
378,2.93153931888666
379,2.79684405599117
380,2.92086896827121
381,2.96854394884095
382,2.91579522426655
383,2.94222489687883
384,2.95086563028891
385,2.87913245907615
386,2.92022017618556
387,2.50434014837454
388,2.08956270846763
389,2.08141435460282
390,2.88339764732584
391,1.65721755415429
392,2.04497162251754
393,2.5366871926136
394,2.06546228271509
395,2.77164824856874
396,3.00622445309275
397,1.59884020588865
398,2.92154616556975
399,2.77820325774197
400,2.91143923042156
401,2.98733367725323
402,2.60223177564083
403,2.78946704590059
404,2.97179140089222
405,2.92549066818545
406,3.00306732725383
407,2.92973967402278
408,2.67606167261573
409,2.82289417716551
410,2.8864308508202
411,1.87983501720633
412,2.11721426839276
413,2.80360536838909
414,2.40600920578223
415,2.91135330567382
416,2.95440892182998
417,2.74335041620528
418,2.53260700259748
419,2.9766787188382
420,2.97316199216978
421,2.88142299586224
422,2.1664390605865
423,2.84488972984293
424,2.89302839873514
425,2.99438952196336
426,2.80314730290559
427,2.85796216078177
428,2.99342073593933
429,2.45793460376226
430,2.99630891265954
431,2.50877070511997
432,1.65788422074464
433,3.0327701534081
434,2.90336262090516
435,2.79310741058221
436,3.02736605368677
